geoid,B02001_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B19013_001E,B25034_001E,B25034_002E,B25034_003E,B25034_004E,B25034_005E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25034_010E,B25034_011E
370670040092,2708,2622,54,0,16,0,0,16,0,16,89426,1092,20,23,171,308,174,255,73,40,28,0
370670008012,676,179,430,8,0,0,59,0,0,0,11850,342,0,0,11,12,23,29,85,117,29,36
370670006002,751,329,422,0,0,0,0,0,0,0,26600,353,0,0,0,0,0,167,149,32,0,5
370670025011,890,876,14,0,0,0,0,0,0,0,127738,424,0,0,8,0,16,24,21,225,82,48
370670025013,1155,1083,41,0,31,0,0,0,0,0,230982,557,0,12,17,21,17,105,52,206,31,96
370670025021,1374,1271,95,0,0,0,0,8,0,8,78487,653,0,0,0,28,24,46,162,306,53,34
370670025022,1525,1404,0,0,37,0,11,73,8,65,168333,627,0,27,67,30,95,48,155,129,31,45
370670026041,1338,214,610,0,0,0,514,0,0,0,25750,516,0,8,0,0,27,107,353,21,0,0
370670026043,2443,1805,312,155,52,0,119,0,0,0,136667,752,38,12,173,274,101,98,18,29,0,9
370670028012,603,523,48,11,0,0,11,10,0,10,39183,351,0,10,39,74,43,80,66,8,8,23
370670028013,2547,2137,352,0,26,0,11,21,0,21,69464,1095,75,34,299,129,194,172,109,62,3,18
370670028061,909,354,509,0,19,0,0,27,0,27,26061,355,0,0,36,130,57,87,0,30,15,0
370670028062,2238,1058,1012,11,21,0,15,121,0,121,27869,1155,148,109,104,169,114,261,122,77,46,5
370670030023,1312,1098,177,9,0,0,0,28,0,28,59224,569,24,9,111,51,77,97,139,37,24,0
370670032021,1198,1117,73,0,0,0,0,8,0,8,42279,587,0,7,157,61,78,141,46,40,17,40
370670032012,899,686,184,0,0,0,0,29,0,29,71731,426,20,9,136,37,104,78,33,9,0,0
370710325021,2203,2057,113,0,33,0,0,0,0,0,92824,725,13,66,299,112,80,72,15,12,0,56
371830540082,2248,396,1532,0,170,0,119,31,0,31,33839,897,0,45,59,80,420,7,96,0,0,190
371190017024,3007,827,1048,0,347,0,541,244,0,244,27440,1054,38,0,0,18,66,391,221,287,0,33
371190058313,328,258,47,11,0,0,12,0,0,0,54423,176,0,13,0,13,124,14,12,0,0,0
371190058311,2394,1954,282,0,74,0,0,84,0,84,80929,1114,0,0,48,544,410,58,54,0,0,0
